T,R,T1,T2
21.6,1060.765519,21.6,24.3
21.6,1103.173812,21.6,25
20.4,1124.90798,22.2,25
20.4,1130.824651,22.9,25.8
20.4,1122.139111,23.6,26.6
17.1,1097.051905,21.6,25.8
16.2,1049.807915,19.8,23.6
16.2,967.1546331,18.7,22.2
15.7,817.2095446,18.1,21.6
15.7,505.7950886,17.1,21
15.7,0,16.6,20.4
15.2,0,16.2,19.8
15.2,0,16.2,19.2
15.2,0,15.7,19.2
15.2,0,15.7,19.2
15.2,0,15.7,18.7
15.2,0,15.7,18.7
15.2,0,15.7,18.7
14.8,0,15.2,18.7
14.8,0,15.2,18.1
14.8,0,15.2,18.1
14.8,587.43502,15.2,18.1
14.8,853.0793084,15.2,18.1
14.8,985.8927031,15.7,18.7
14.8,1060.180989,16.2,19.2
16.2,1102.527931,16.6,19.2
18.1,1124.238937,17.6,20.4
19.8,1130.150276,18.7,21
20.4,1121.472708,19.8,22.9
20.4,1096.413561,21.6,24.3
22.9,1049.24271,23.6,25.8
25.8,966.7811229,29.2,28.3
22.9,817.3910956,30.1,31.1
20.4,507.989277,28.3,31.1
18.7,0,25.8,29.2
18.1,0,23.6,27.4
18.1,0,22.2,26.6
18.1,0,21,25
17.6,0,19.8,24.3
17.6,0,19.2,23.6
17.6,0,18.7,22.2
17.1,0,18.1,21.6
16.6,0,17.6,21.6
17.1,0,17.1,21
16.6,0,17.1,20.4
17.1,588.9162741,17.1,20.4
18.1,853.087244,18.1,21
21,985.4699309,20.4,22.2
25.8,1059.605684,25.8,25.8
25,1101.894032,33.2,31.1
26.6,1123.582987,36.9,35.6
25,1129.48926,41.4,39.8
27.4,1120.819266,47.1,45.1
25,1095.78685,45.1,47.1
24.3,1048.685885,39.8,45.1
22.9,966.4078392,36.9,41.4
22.9,817.5493909,33.2,38.3
22.2,510.0700701,30.1,35.6
21.6,0,28.3,33.2
21,0,26.6,32.1
21,0,25,31.1
20.4,0,24.3,29.2
20.4,0,23.6,28.3
20.4,0,22.9,27.4
20.4,0,21.6,26.6
19.8,0,21.6,25.8
19.8,0,21,25
20.4,0,20.4,24.3
20.4,0,20.4,24.3
19.2,590.314754,20.4,23.6
19.8,853.0791838,20.4,23.6
20.4,985.0499992,21,23.6
19.8,1059.040016,21,23.6
21.6,1101.272524,21.6,24.3
20.4,1122.940535,22.2,25
21,1128.842009,22.2,25
22.2,1120.179192,22.9,25.8
21,1095.172181,23.6,26.6
21,1048.137858,22.9,26.6
21,966.0352268,22.9,26.6
21.6,817.6850707,22.9,26.6
20.4,512.0397565,22.2,25.8
19.8,0,21.6,25.8
19.8,0,21.6,25
19.2,0,21,24.3
19.2,0,21,24.3
18.7,0,20.4,23.6
18.7,0,19.8,23.6
18.7,0,19.8,22.9
18.1,0,19.2,22.9
18.7,0,19.2,22.2
18.7,0,19.2,22.2
